age,income,credit_score,years_employed,default
56.0,70585.6669482087,541,3,0
69.0,39833.20860509924,531,30,0
,67302.97808011803,583,27,1
32.0,44374.840574452784,499,10,0
60.0,39587.81069738759,378,0,1
25.0,51647.90109564873,472,37,0
78.0,55136.85377011271,766,23,0
38.0,78672.94409764142,715,30,1
56.0,54793.06368303072,748,25,1
75.0,52899.170927740786,386,4,1
36.0,,400,19,0
40.0,59015.80916317305,307,10,1
28.0,40335.87229748078,499,32,0
28.0,70339.55577962288,804,37,0
41.0,38905.71845855971,386,26,0
70.0,40261.29082499436,342,33,1
53.0,37272.1895091813,684,14,1
57.0,,734,31,1
41.0,54997.59942259737,707,20,0
20.0,46131.46753184685,782,4,0
39.0,-2172.538204548342,316,5,1
,45976.05407075731,447,37,0
19.0,42231.316162915486,576,21,0
41.0,63392.38046448283,531,17,1
61.0,41551.12082809456,665,13,1
47.0,88088.86686816339,527,9,1
55.0,70951.90368155364,735,12,0
19.0,44151.34413485333,698,30,0
77.0,67244.34618249623,510,29,0
38.0,57878.175690364216,690,2,0
50.0,53501.986947203644,798,29,0
29.0,62039.78383411144,839,5,1
75.0,50811.063113907294,790,28,0
39.0,53605.267341162165,741,7,0
78.0,62350.287744184476,560,32,0
61.0,80786.79112618235,649,16,1
42.0,53767.92458329511,651,10,1
66.0,43193.05002541766,819,12,1
44.0,19561.53717359017,619,10,0
76.0,79419.55207945456,437,30,1
59.0,46051.3743114206,849,27,1
45.0,58022.139351219004,667,5,1
77.0,78588.60855390491,519,15,0
33.0,53414.034813957376,636,3,1
32.0,47079.9460718378,522,34,0
79.0,71295.09466315617,659,25,0
79.0,56911.05601345879,628,11,1
64.0,58791.58407085101,762,10,0
79.0,27152.58694292359,681,36,1
68.0,68088.72810863878,468,24,0
61.0,55633.82101987468,516,17,1
72.0,29426.15930415314,677,18,1
,57276.411674199124,418,22,1
74.0,19062.11489132376,489,37,0
20.0,,669,17,1
54.0,33472.17800027359,448,25,0
68.0,74176.89148577653,787,5,1
24.0,37805.6667782202,673,3,0
38.0,58403.385664560796,459,28,0
26.0,36318.07615085752,650,33,1
56.0,64956.7283284673,587,16,1
35.0,46470.21887139122,587,15,1
21.0,57016.69319311564,525,1,1
42.0,50225.96572368492,822,33,1
77.0,29515.028202745165,821,7,0
31.0,57561.60289535801,572,12,1
67.0,42451.43771501378,701,7,1
75.0,65679.69189511416,482,29,0
26.0,46462.102877739846,787,31,1
43.0,48848.54136457502,423,35,1
70.0,75243.89696559405,713,29,0
19.0,85724.55191761925,471,0,1
37.0,61790.50933568124,587,38,1
45.0,45692.89853864922,734,16,1
64.0,44380.08007465784,412,19,0
77.0,37719.8452202213,421,23,1
24.0,40621.42724669665,843,21,0
61.0,45895.85384744047,521,28,1
78.0,79463.7945049235,338,21,0
25.0,47041.674937197145,796,8,1
64.0,31609.204937028462,532,36,0
52.0,50624.97900688074,829,9,0
31.0,52671.926386415966,448,35,0
34.0,50534.53189775684,696,36,0
53.0,61995.36833877811,601,27,0
67.0,51035.0826703855,659,27,0
57.0,61530.912382209935,537,20,1
21.0,38294.84968913427,535,23,1
19.0,76710.94157217834,502,39,0
79.0,53787.19682515378,555,1,0
23.0,56003.284556105566,534,7,0
71.0,38232.321592800465,644,26,0
59.0,57077.40486899594,833,21,1
21.0,59765.97585005456,765,36,0
71.0,32453.47349262365,840,26,1
46.0,25113.62617418515,512,28,1
35.0,,762,2,0
43.0,42668.45264816701,735,12,0
61.0,53898.82203703594,582,9,1
51.0,30634.458936528274,762,35,1
27.0,26592.41128425994,706,8,0
79.0,53100.34194501615,387,26,0
53.0,44753.243585647215,343,33,0
31.0,18339.507182747322,760,0,1
48.0,70146.48227161594,577,31,1
65.0,30385.14397724364,720,24,0
32.0,,652,28,1
25.0,40639.74906667132,814,6,1
31.0,56023.40852188998,318,2,0
40.0,74704.23515580778,322,19,0
77.0,72191.50891743237,712,19,1
74.0,79792.04609340325,329,29,1
79.0,27153.856416794704,407,34,0
57.0,32962.01753739129,666,34,0
38.0,53389.95911141045,580,38,0
33.0,62596.21156846571,427,26,0
62.0,49831.58834930543,528,25,0
35.0,25430.089464299166,410,13,1
64.0,57448.67238447199,435,16,1
70.0,47086.22917648948,661,17,1
41.0,46906.415615662,485,28,1
43.0,15830.743732841642,428,19,0
42.0,61962.26306717472,560,26,0
77.0,52178.060904281876,814,17,0
77.0,76927.46834958445,748,3,1
77.0,48882.38530203241,403,0,1
62.0,58495.10195778534,782,0,1
58.0,62477.272641578944,523,25,0
46.0,23807.57662008213,790,19,1
32.0,89250.4991990239,772,22,0
62.0,43538.11418116075,309,9,0
18.0,57418.49903213727,704,10,0
42.0,59608.73010423727,601,4,0
24.0,37778.23808014554,530,0,0
26.0,77704.70497171405,365,16,0
41.0,53989.32904031649,411,21,1
18.0,46797.91044638999,312,33,0
61.0,52077.61943582664,692,28,0
25.0,,799,3,1
41.0,50161.9724721455,533,4,0
28.0,63228.948655748594,613,10,1
68.0,24726.91791548391,311,20,1
34.0,38780.45015260264,508,34,1
25.0,17917.99527786027,313,11,0
52.0,,717,25,0
52.0,79759.88191527402,736,18,1
50.0,59399.24101299477,676,6,0
76.0,34810.72893630453,319,6,0
22.0,85848.17408327485,369,25,1
59.0,40933.78282802432,510,39,1
56.0,46801.89309642254,400,4,0
75.0,52393.00108596084,431,20,1
58.0,56772.73913028454,680,13,1
45.0,59657.03902556478,431,3,1
24.0,60259.424562116765,319,22,0
26.0,47832.13871969143,835,19,0
25.0,60021.51427635069,526,14,0
29.0,47161.88510756484,453,28,1
51.0,58689.55155308331,768,7,0
50.0,57459.37666746163,704,18,1
65.0,61442.709361971814,501,38,0
72.0,59569.50048531448,337,27,0
40.0,43363.51437633054,487,26,1
79.0,56880.65257338519,356,3,0
41.0,59800.996068723296,319,14,1
54.0,30633.134165769414,572,34,0
52.0,45889.33464153456,418,36,0
61.0,59121.708368275,815,0,1
57.0,75639.38742094433,520,2,1
39.0,62373.50279193101,825,23,1
44.0,76585.66980466394,814,26,0
52.0,44024.39914734577,635,39,0
18.0,53752.85738371465,354,35,0
52.0,62086.02949289177,799,33,1
54.0,15104.724297503344,835,28,1
64.0,72662.0482717179,461,23,1
31.0,22086.3517871803,458,23,0
20.0,64954.101024176045,487,3,0
18.0,60302.47685813969,359,2,1
22.0,14906.104962276702,618,33,0
43.0,15664.081146005039,510,22,1
72.0,71487.22876178758,705,22,0
31.0,68220.83089529822,408,4,0
56.0,36787.04533267609,375,30,1
44.0,36771.816574339035,841,5,0
26.0,57689.07458564331,613,36,0
32.0,49808.83774267448,416,9,1
32.0,65815.92823773672,318,39,1
43.0,57193.7138664963,731,6,0
59.0,73745.46190934803,649,38,1
77.0,64551.1666687059,482,37,0
30.0,60811.59573710866,412,20,1
68.0,44718.12919544489,482,19,0
49.0,43620.18148757233,780,2,0
56.0,49223.61522942049,445,21,1
66.0,77614.14604905812,412,3,0
69.0,43905.87905915324,775,27,0
78.0,53907.93480611024,602,11,1
49.0,16327.95638439036,417,37,1
21.0,60137.13095066121,460,35,0
47.0,83857.9742163971,700,4,1
54.0,35995.428361056125,497,12,1
40.0,97616.63205690138,559,22,0
56.0,52733.6090698498,346,29,0
62.0,11406.031379234839,698,36,1
32.0,44216.92640048133,377,24,1
60.0,69956.57844903624,423,26,1
46.0,79989.75809374706,374,13,0
