feature_1,feature_2,feature_3,target
3.745401188473624909e-01,9.507143064099161656e-01,7.319939418114050911e-01,-8.413870871594410217e-02
5.986584841970366000e-01,1.560186404424365181e-01,1.559945203362026467e-01,1.585840468026687988e+00
5.808361216819946105e-02,8.661761457749351800e-01,6.011150117432088047e-01,-6.197189987766136277e-01
7.080725777960454881e-01,2.058449429580244683e-02,9.699098521619943236e-01,2.681200214543202343e+00
8.324426408004217404e-01,2.123391106782761550e-01,1.818249672071006184e-01,1.849464991260235669e+00
1.834045098534338170e-01,3.042422429595377231e-01,5.247564316322378408e-01,5.336432161693567267e-01
4.319450186421157634e-01,2.912291401980419137e-01,6.118528947223794701e-01,1.022094649613713990e+00
1.394938606520418345e-01,2.921446485352181544e-01,3.663618432936917024e-01,2.894719396089822094e-01
4.560699842170359286e-01,7.851759613930135995e-01,1.996737821583597361e-01,7.787958385899483582e-02
5.142344384136116053e-01,5.924145688620424677e-01,4.645041271999772459e-02,3.051521269516266344e-01
6.075448519014383653e-01,1.705241236872915289e-01,6.505159298527951606e-02,1.401436184507029337e+00
9.488855372533332444e-01,9.656320330745593594e-01,8.083973481164611341e-01,1.413474887265012025e+00
3.046137691733706854e-01,9.767211400638386998e-02,6.842330265121568944e-01,1.084792993173691933e+00
4.401524937396013026e-01,1.220382348447788257e-01,4.951769101112701854e-01,1.436371955513014553e+00
3.438852111521839561e-02,9.093204020787820641e-01,2.587799816000169173e-01,-1.235495690219814202e+00
6.625222843539819717e-01,3.117110760894109545e-01,5.200680211778108131e-01,1.654636160922852817e+00
5.467102793432796481e-01,1.848544555255270394e-01,9.695846277645585598e-01,2.107237948108846570e+00
7.751328233611145535e-01,9.394989415641891162e-01,8.948273504276488266e-01,1.073803065888919051e+00
5.978999788110851421e-01,9.218742350231168281e-01,8.849250205191949714e-02,-7.130951148855734986e-03
1.959828624191451985e-01,4.522728891053806599e-02,3.253303307632643415e-01,8.628315130446576608e-01
3.886772896894820084e-01,2.713490317738959101e-01,8.287375091519293413e-01,1.323136801530346629e+00
3.567533266935892788e-01,2.809345096873807623e-01,5.426960831582484657e-01,8.327428506873898462e-01
1.409242249747626463e-01,8.021969807540396680e-01,7.455064367977082274e-02,-1.039830495887114736e+00
9.868869366005172949e-01,7.722447692966574184e-01,1.987156815341724059e-01,1.280437283067396237e+00
5.522117123602399147e-03,8.154614284548341585e-01,7.068573438476171145e-01,-8.101489965816444094e-01
7.290071680409873078e-01,7.712703466859457402e-01,7.404465173409036094e-02,6.017333292459950966e-01
3.584657285442726105e-01,1.158690595251297140e-01,8.631034258755935218e-01,1.483823454175755119e+00
6.232981268275579190e-01,3.308980248526491863e-01,6.355835028602363490e-02,1.080844965504347721e+00
3.109823217156622022e-01,3.251833220267470459e-01,7.296061783380640708e-01,7.972084371919649914e-01
6.375574713552131234e-01,8.872127425763265407e-01,4.722149251619492949e-01,5.035420579015065234e-01
1.195942459383017020e-01,7.132447872229950026e-01,7.607850486168974413e-01,-4.343939570737511691e-01
5.612771975694962334e-01,7.709671799545609883e-01,4.937955963643907431e-01,5.514654564650752766e-01
5.227328293819940574e-01,4.275410183585496293e-01,2.541912674409518846e-02,7.204336208107230410e-01
1.078914269933044512e-01,3.142918568673425117e-02,6.364104112637803956e-01,6.465937310185972953e-01
3.143559810763266738e-01,5.085706911647027706e-01,9.075664739260930203e-01,7.864724273090518691e-01
2.492922291488749442e-01,4.103829230356297320e-01,7.555511385430486726e-01,5.444741932243042370e-01
2.287981654916224628e-01,7.697990982879299171e-02,2.897514529137680261e-01,7.821559900118362219e-01
1.612212872540044195e-01,9.296976523425730665e-01,8.081203795644169574e-01,-4.342597041181600059e-01
6.334037565104234657e-01,8.714605901877177097e-01,8.036720768991144626e-01,8.658016684321858669e-01
1.865700588860358389e-01,8.925589984899777729e-01,5.393422419156507219e-01,-5.590347426182429302e-01
8.074401551640625341e-01,8.960912999234932341e-01,3.180034749718638754e-01,9.142814861533306026e-01
1.100519245276767588e-01,2.279351625419416827e-01,4.271077886262563128e-01,3.067780925310319984e-01
8.180147659224931145e-01,8.607305832563434400e-01,6.952130531190703344e-03,5.175094693482756858e-01
5.107473025775657316e-01,4.174110031487789918e-01,2.221078104707302492e-01,7.770380857467477087e-01
1.198653673336828041e-01,3.376151714036279561e-01,9.429097039125191593e-01,5.374482561727017549e-01
